series,episode,baker,result
5,1,Nancy,STAR BAKER
5,2,Richard,STAR BAKER
5,3,Luis,STAR BAKER
5,4,Richard,STAR BAKER
5,5,Kate,STAR BAKER
5,6,Chetna,STAR BAKER
5,7,Richard,STAR BAKER
5,8,Richard,STAR BAKER
5,9,Richard,STAR BAKER
6,1,Marie,STAR BAKER
6,2,Ian,STAR BAKER
6,3,Ian,STAR BAKER
6,4,Ian,STAR BAKER
6,5,Nadiya,STAR BAKER
6,6,Mat,STAR BAKER
6,7,Tamal,STAR BAKER
6,8,Nadiya,STAR BAKER
6,9,Nadiya,STAR BAKER
7,1,Jane,STAR BAKER
7,2,Candice,STAR BAKER
7,3,Tom,STAR BAKER
7,4,Benjamina,STAR BAKER
7,5,Candice,STAR BAKER
7,6,Tom,STAR BAKER
7,7,Andrew,STAR BAKER
7,8,Candice,STAR BAKER
7,9,Andrew,STAR BAKER
8,1,Steven,STAR BAKER
8,2,Steven,STAR BAKER
8,3,Julia,STAR BAKER
8,4,Kate,STAR BAKER
8,5,Sophie,STAR BAKER
8,6,Liam,STAR BAKER
8,7,Steven,STAR BAKER
8,8,Stacey,STAR BAKER
8,9,Sophie,STAR BAKER
